Elements,Time (ms)
100,0.019764
200,0.04623
300,0.068717
400,0.096721
500,0.132546
600,0.161737
700,0.187995
800,0.22375
900,0.229477
1000,0.279898
1100,0.311533
1200,0.352247
1300,0.393589
1400,0.410559
1500,0.529139
1600,0.462516
1700,0.540731
1800,0.497992
1900,0.593386
2000,0.626418
2100,0.598764
2200,0.714061
2300,0.795209
2400,0.705611
2500,0.789203
2600,0.810992
2700,0.914696
2800,0.8795
2900,0.886484
3000,0.945354
3100,1.01002
3200,1.05073
3300,0.995426
3400,1.08356
3500,1.1235
3600,1.16512
3700,1.18929
3800,1.25368
3900,1.2645
4000,1.30752
4100,1.35968
4200,1.39698
4300,1.50745
4400,1.53497
4500,1.54977
4600,1.55774
4700,1.73763
4800,1.56444
4900,1.68072
5000,1.62883
5100,1.75034
5200,1.87402
5300,2.23248
5400,2.11509
5500,1.84678
5600,1.95356
5700,1.96103
5800,1.90956
5900,2.00845
6000,2.00419
6100,2.04889
6200,2.13758
6300,2.37592
6400,2.39485
6500,2.22194
6600,2.28046
6700,2.44373
6800,2.43556
6900,2.44171
7000,2.55121
7100,2.48319
7200,2.50987
7300,2.60652
7400,2.7193
7500,2.63068
7600,2.97721
7700,2.76498
7800,2.8492
7900,2.89208
8000,2.91889
8100,2.84403
8200,2.99669
8300,3.01073
8400,2.9101
8500,3.21269
8600,3.07435
8700,3.05507
8800,3.38881
8900,3.22491
9000,3.67402
9100,3.35236
9200,3.88737
9300,3.48204
9400,6.123
9500,4.39696
9600,3.44161
9700,3.95273
9800,3.47115
9900,3.77668
