Elements,Time (ms)
100,0.101467
200,0.408452
300,0.886039
400,1.17138
500,1.74128
600,2.44813
700,3.37991
800,4.33195
900,5.48272
1000,6.78776
1100,8.262
1200,9.68562
1300,11.434
1400,13.2237
1500,15.2376
1600,17.2656
1700,19.4923
1800,21.859
1900,24.3686
2000,27.2036
2100,29.7141
2200,32.5737
2300,35.9721
2400,38.7173
2500,42.0881
2600,45.4917
2700,48.9734
2800,54.2681
2900,58.5689
3000,62.7684
3100,66.1582
3200,70.8758
3300,75.4011
3400,79.0025
3500,82.3389
3600,87.3143
3700,91.9856
3800,97.157
3900,102.142
4000,107.818
4100,112.941
4200,118.938
4300,124.21
4400,130.056
4500,136.561
4600,142.018
4700,149.811
4800,154.95
4900,161.876
5000,167.812
5100,174.215
5200,181.381
5300,188.237
5400,196.4
5500,203.073
5600,218.35
5700,220.557
5800,247.931
5900,309.076
6000,274.348
6100,275.414
6200,262.668
6300,271.633
6400,275.463
6500,283.566
6600,293.339
6700,301.742
6800,310.569
6900,319.509
7000,328.523
7100,338.382
7200,347.324
7300,357.672
7400,368.367
7500,378.188
7600,387.03
7700,398.708
7800,421.091
7900,428.18
8000,431.788
8100,453.357
8200,467.096
8300,467.897
8400,484.335
8500,529.764
8600,507.628
8700,520.746
8800,524.136
8900,535.809
9000,559.516
9100,568.776
9200,573.912
9300,631.167
9400,606.127
9500,625.534
9600,622.472
9700,634.615
9800,646.917
9900,661.09
