Elements,Time (ms)
100,0.066691
200,0.244279
300,0.491282
400,0.961056
500,1.34871
600,2.07749
700,2.66291
800,3.7084
900,4.4802
1000,5.4164
1100,7.27259
1200,12.6349
1300,16.1835
1400,11.589
1500,12.1422
1600,13.5168
1700,14.9514
1800,17.1379
1900,18.7837
2000,20.4783
2100,24.5206
2200,25.7691
2300,28.22
2400,30.678
2500,32.9275
2600,37.4492
2700,39.8134
2800,42.8688
2900,45.6896
3000,48.4501
3100,49.152
3200,53.5517
3300,56.6605
3400,60.0318
3500,65.0091
3600,74.5788
3700,82.4277
3800,76.6322
3900,80.0063
4000,85.4254
4100,86.2255
4200,88.4921
4300,95.744
4400,97.1028
4500,103.62
4600,145.293
4700,116.658
4800,117.037
4900,121.733
5000,126.627
5100,130.007
5200,137.426
5300,142.077
5400,160.931
5500,157.472
5600,164.351
5700,166.939
5800,169.99
5900,177.995
6000,182.431
6100,187.705
6200,194.455
6300,199.778
6400,207.254
6500,209.75
6600,216.22
6700,228.021
6800,243.467
6900,256.116
7000,248.518
7100,271.571
7200,273.174
7300,277.6
7400,285.677
7500,339.451
7600,301.823
7700,295.874
7800,311.835
7900,321.068
8000,317.869
8100,332.945
8200,348.666
8300,346.224
8400,356.937
8500,365.147
8600,376.398
8700,382.618
8800,391.96
8900,400.91
9000,426.804
9100,431.716
9200,433.697
9300,440.447
9400,439.377
9500,479.118
9600,472.677
9700,475.557
9800,480.591
9900,491.912
